urban_area,County_name,Tract,Low_Response_Score,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
,Denton County,20403,23.1,13.3,3.5,26.9,7.6
,Denton County,20602,24.9,38.4,6.8,14.2,6.3
,Coleman County,950700,21.7,13.3,5.2,27.1,7.2
,Brewster County,950400,25.8,82.1,7.5,19.9,7.0
,Brewster County,950300,22.3,35.4,6.0,8.9,3.6
,Coleman County,950300,20.9,20.3,3.5,21.0,8.0
,Coleman County,950600,16.5,12.9,10.1,8.4,4.1
,Lubbock County,10700,18.2,19.9,7.3,11.0,6.9
,Orange County,21300,18.9,2.9,1.4,16.1,5.4
,Denton County,20700,28.2,10.3,4.3,45.9,7.4
,Denton County,20900,33.2,30.8,5.3,50.0,7.0
,Denton County,21000,30.8,20.3,5.1,51.3,9.5
,Denton County,21100,31.8,13.9,4.4,52.7,6.6
,Denton County,21301,36,14.0,4.2,50.1,9.0
,Denton County,21502,26.3,43.1,8.3,17.5,9.4
,Denton County,21505,18.7,18.9,7.2,7.7,7.0
,Denton County,21409,17.5,10.9,2.8,11.4,7.2
,Fisher County,950400,21.2,34.5,6.0,17.1,5.6
,Fisher County,950300,20,18.8,7.1,10.1,6.4
,Glasscock County,950100,21.3,29.1,10.7,3.9,2.6
,Burnet County,960600,14.7,8.1,4.8,7.3,3.9
,Burnet County,960700,22.8,30.0,5.9,14.3,8.1
,Burnet County,960200,16.7,16.7,11.8,11.2,9.7
,Burnet County,960300,22,21.1,6.8,19.8,9.2
,Burnet County,960500,20.7,37.7,7.2,31.8,8.7
,Burnet County,960100,20.8,14.0,3.1,12.2,5.5
,Burnet County,960400,16.3,23.3,11.2,17.9,12.0
,Burnet County,960800,19.1,10.5,3.4,13.4,6.5
,Wise County,150101,19,23.3,12.2,8.1,3.8
,Wise County,150402,18.4,8.7,3.9,6.5,2.8
,Wise County,150300,19.2,5.2,3.1,15.3,4.7
,Wise County,150601,18.3,5.3,2.0,9.0,4.2
,Wise County,150200,21.7,21.6,7.9,9.8,4.9
,Wise County,150401,20.6,16.2,5.0,11.7,4.4
,Wise County,150500,23.7,43.5,6.5,18.0,8.0
,Wise County,150602,20.6,23.1,5.2,8.4,3.5
,Wise County,150102,18.5,16.5,7.7,10.9,6.8
,Wise County,150403,18.8,6.4,3.6,7.2,4.0
,Brooks County,950200,27.1,89.9,4.0,39.1,10.6
,Brooks County,950100,26.4,93.9,5.2,26.8,11.4
,Hudspeth County,950300,27.3,78.8,0.0,43.2,6.2
,Brazoria County,662900,21.8,23.9,9.7,13.4,6.2
,Brazoria County,662800,21.2,11.4,4.4,16.1,5.9
,Brazoria County,662500,18.9,25.8,4.1,7.0,5.2
,Brazoria County,664100,23.8,43.6,8.5,20.6,11.2
,Brazoria County,664000,28.1,50.5,10.9,24.3,9.3
,Brazoria County,662200,24.2,31.3,5.9,8.8,7.1
,Brazoria County,662400,21.2,20.5,7.2,7.8,4.0
,Brazoria County,663100,16.4,20.5,5.2,6.6,4.5
,Brazoria County,662000,21.4,19.2,4.5,17.7,6.4
,Brazoria County,664400,26.9,55.7,9.2,13.1,5.0
,Camp County,950200,24.7,38.8,4.2,30.3,7.8
,Brazoria County,662100,23.6,34.7,4.0,16.7,6.1
,Brazoria County,662300,21.2,21.9,6.9,13.9,9.2
,Brazoria County,662700,20.6,15.0,6.0,14.1,6.4
,Brazoria County,663000,22.2,22.2,4.0,18.5,7.0
,Brazoria County,663200,19.6,22.6,6.7,3.6,2.4
,Matagorda County,730303,20.4,17.4,18.7,25.6,22.7
,Montgomery County,694700,20.7,5.6,3.9,14.1,8.2
,Montgomery County,693700,19.9,12.8,4.3,7.1,4.0
,Montgomery County,690500,13.6,6.2,2.7,2.7,1.7
,Montgomery County,694400,19.5,19.7,6.1,17.1,6.8
,Montgomery County,693900,27.3,62.2,8.4,26.5,6.8
,Montgomery County,693000,24.8,47.9,6.8,27.9,8.2
,Montgomery County,694600,20,18.1,7.6,12.1,6.3
,Oldham County,950100,21.1,12.1,3.6,16.7,2.6
,Montgomery County,694000,20.7,24.1,11.1,16.4,6.6
,Montgomery County,693400,33.2,53.4,9.1,48.1,8.9
,Bexar County,152202,26.7,72.4,14.6,17.6,6.9
,Sutton County,950300,24.7,58.0,5.4,6.3,3.1
,Wharton County,740500,26.1,40.0,12.6,18.6,7.4
,Wharton County,740800,25.9,52.1,8.3,26.3,8.9
,Wharton County,741000,27.2,57.0,10.7,19.6,9.9
,Wharton County,740300,27.8,36.7,13.3,24.1,8.7
,Wharton County,741100,21.5,14.7,6.6,8.1,4.0
,Taylor County,13500,16.8,6.2,1.8,4.2,2.2
,Burleson County,970200,20.4,20.1,7.2,11.1,4.7
,Jim Hogg County,950400,29.3,90.2,7.4,26.0,11.4
,Burleson County,970400,22.7,22.6,9.9,12.8,5.5
,Burleson County,970500,21.1,16.8,6.8,21.0,9.6
,Burleson County,970100,18.9,6.5,6.3,13.0,10.5
,Burleson County,970300,21.4,22.5,5.7,19.2,5.9
,Kendall County,970402,14.9,12.9,4.2,4.7,3.5
,Kendall County,970301,20.6,15.5,6.6,8.1,2.9
,Angelina County,400,24.3,16.1,11.2,39.1,8.6
,Angelina County,1100,18.3,4.3,4.1,12.1,5.2
,Angelina County,700,27.8,58.2,6.8,35.9,10.7
,Angelina County,500,27.4,17.1,5.6,27.2,6.0
,Angelina County,200,22.5,21.7,5.5,27.9,7.3
,Angelina County,1200,17,6.0,6.6,14.7,5.0
,Angelina County,102,19.7,21.6,8.5,11.6,6.6
,Angelina County,800,20.8,12.3,6.8,20.0,10.6
,Angelina County,600,25.1,47.4,7.5,26.0,7.5
,Angelina County,1300,19.3,6.6,5.8,20.1,8.5
,Wilson County,104,18.4,23.4,6.4,11.2,4.7
,Wilson County,404,18.7,33.4,5.6,6.4,4.3
,Wilson County,103,18.8,21.4,10.4,5.7,3.0
,Coryell County,10101,18.5,12.7,5.0,15.1,6.7
,Coryell County,10300,21.5,27.7,9.2,22.9,10.2
,Coryell County,10102,19.3,11.0,4.8,11.8,6.0
,Mitchell County,950200,24.2,41.1,1.0,10.0,5.4
,Coryell County,10201,26.1,24.4,0.3,24.9,28.0
,Lynn County,950400,21.1,36.9,6.4,14.1,4.8
,Lynn County,950600,22.9,59.5,9.6,23.7,9.8
,Lynn County,950500,22.7,47.8,5.6,18.0,7.4
,Guadalupe County,210506,21.5,32.9,11.5,13.4,6.8
,Montgomery County,691302,19.8,17.1,3.7,15.6,8.2
,Montgomery County,691602,23.5,26.7,12.1,16.9,9.6
,Montgomery County,693102,26.1,62.1,8.0,21.6,10.1
,San Patricio County,11100,24.5,73.7,5.8,22.2,7.0
,Cameron County,10402,21.6,72.2,9.3,25.0,7.3
,Bosque County,950100,20.4,18.1,3.5,19.4,4.0
,Bosque County,950400,16,9.7,3.5,4.2,2.0
,Bosque County,950300,16,8.1,4.4,21.3,7.4
,Bosque County,950700,20.2,12.6,4.2,12.1,6.1
,Bosque County,950600,15.5,10.3,5.7,6.9,2.5
,Bosque County,950200,22.9,24.9,6.3,19.6,5.4
,Milam County,950700,22.1,31.1,5.8,27.6,6.8
,Milam County,950100,20.6,25.1,7.5,24.9,9.1
,Milam County,950300,19.8,24.2,8.4,19.9,9.0
,Milam County,950500,19.3,10.8,4.7,16.5,5.4
,Milam County,950800,20.4,18.2,5.5,6.3,2.8
,Collin County,31003,20.6,26.1,8.7,19.8,8.5
,Collin County,30203,19.7,20.5,6.1,8.1,4.8
,Collin County,30302,14.8,2.5,2.4,6.1,9.6
,Collin County,30603,21.3,23.2,9.2,4.4,4.3
,Collin County,30529,17.8,9.1,5.4,2.8,2.8
,Collin County,30201,18.5,14.7,8.4,1.9,1.4
,Collin County,31004,22.4,24.8,7.5,13.4,5.9
,Collin County,30305,19.2,17.4,4.1,13.4,4.6
,Collin County,30303,21.2,9.9,5.5,7.5,4.1
,Collin County,30304,20,9.0,6.3,19.8,18.8
,Cameron County,10500,28.5,95.2,5.2,48.8,11.8
,Caldwell County,960400,27.3,66.3,6.0,18.0,9.5
,Caldwell County,960500,27,54.0,4.2,27.6,5.9
,Caldwell County,960300,20.8,45.1,8.8,16.2,9.6
,Caldwell County,960700,23.7,44.2,8.2,16.0,9.2
,Caldwell County,960600,20,13.3,6.1,8.2,4.8
,Caldwell County,960200,25.6,51.6,5.6,10.5,4.0
,Collin County,30702,23.8,39.2,10.2,23.7,11.7
,Collin County,30701,26.2,40.9,14.3,35.7,14.7
,Collin County,30605,22.2,16.7,3.6,2.2,1.7
,Collin County,30531,13.7,5.6,2.2,5.0,4.6
,Kerr County,960600,23.8,40.2,5.0,27.3,7.8
,Collin County,30525,15.8,8.1,3.4,4.5,3.8
,Collin County,30526,20.2,10.3,4.3,4.3,3.3
,Collin County,30516,19.9,24.1,9.9,17.5,11.6
,Collin County,30523,18.6,14.8,6.9,8.9,5.8
,Palo Pinto County,300,16.8,8.3,3.7,5.9,3.5
,Palo Pinto County,400,17.8,9.4,3.3,13.1,7.3
,Palo Pinto County,200,19.6,15.4,4.7,15.3,5.2
,Palo Pinto County,100,19.9,9.7,4.8,15.9,6.3
,Palo Pinto County,500,20.7,16.6,8.2,19.6,8.2
,Kerr County,960800,21.5,28.0,8.5,25.2,8.9
,Kerr County,960100,16.8,15.4,6.0,16.6,7.8
,Kerr County,960200,11.4,8.6,4.1,3.4,1.9
,Kerr County,960700,14,10.9,3.9,5.0,3.2
,Johnson County,130500,18.2,6.7,2.8,9.6,4.4
,Johnson County,130100,19,13.9,7.3,8.0,3.7
,Johnson County,130900,26.7,45.2,7.4,29.6,10.4
,Johnson County,130700,21.2,28.0,6.4,14.3,7.5
,Palo Pinto County,700,20,32.6,4.6,18.1,7.9
,Palo Pinto County,800,25.4,37.0,6.8,26.4,8.7
,Palo Pinto County,900,24.5,25.1,7.1,33.2,9.2
,Johnson County,130408,22.3,26.0,6.3,9.4,4.0
,Johnson County,130302,24,13.3,5.6,21.6,6.8
,Newton County,950100,18.9,0.4,0.7,9.2,7.8
,Newton County,950300,21.8,2.7,3.0,13.0,6.7
,Newton County,950400,18.9,4.9,2.4,11.2,5.4
,Newton County,950200,22.2,3.6,1.6,22.1,6.8
,Terrell County,950100,23.8,60.6,14.4,16.8,8.7
,Shackelford County,950300,20.2,10.5,0.0,17.1,4.8
,Caldwell County,960102,22.3,35.8,11.7,16.5,8.2
,Presidio County,950100,26.3,62.4,8.0,17.9,7.8
,Presidio County,950200,27.1,91.1,0.3,23.3,8.0
,Collin County,31100,20.9,18.8,6.4,16.6,6.7
,Cameron County,10601,26.8,81.5,5.5,32.3,9.9
,Tom Green County,1702,20.4,22.7,5.2,4.8,3.5
,Trinity County,950400,17.3,5.8,4.3,15.5,8.2
,Trinity County,950500,24.3,17.6,7.2,15.7,6.6
,Trinity County,950200,20.6,9.7,3.9,22.5,8.3
,Trinity County,950300,20.3,5.7,4.0,14.1,6.9
,Sabine County,950200,21,8.5,3.5,24.9,7.7
,Sabine County,950100,18,0.3,0.5,28.2,11.2
,Fannin County,950401,26.6,22.1,5.9,28.8,9.9
,Fannin County,950402,18.9,7.4,6.1,23.0,7.9
,Fannin County,950800,16.7,7.1,3.5,13.9,4.2
,Kerr County,960500,21.8,39.1,5.6,22.2,7.3
,Hays County,10500,28.8,59.1,7.8,35.3,9.2
,Hays County,10200,30.1,21.1,2.5,37.8,10.5
,Hays County,10600,20.5,28.4,6.2,6.7,2.6
,Hays County,10400,27.3,53.6,9.6,24.7,7.9
,Howard County,950100,20,28.9,7.5,15.0,7.4
,Howard County,950600,19.2,21.2,4.3,5.8,4.4
,Galveston County,723700,29.4,24.9,7.8,41.0,13.8
,Howard County,950300,26.1,67.1,9.8,33.8,10.3
,Howard County,950700,22,51.3,7.1,18.5,8.1
,Howard County,950500,24.8,47.2,9.5,27.0,7.0
,Howard County,950200,19.4,23.3,7.2,14.8,6.6
,Howard County,950900,17.7,22.4,5.9,6.8,4.0
,Howard County,950400,24.7,35.7,6.9,21.1,7.7
,Angelina County,101,20.1,11.4,7.5,19.7,6.8
,Angelina County,1001,25.1,43.5,6.3,24.1,10.7
,Angelina County,1002,21.6,26.5,8.9,8.3,6.0
,Angelina County,302,20.9,17.3,4.7,17.1,6.3
,Collin County,30528,18.3,9.2,3.0,5.8,4.4
,Collin County,30527,16.6,15.5,7.2,3.0,2.2
,Collin County,30301,17.8,13.8,3.0,2.2,1.4
,Angelina County,901,17.8,10.1,4.3,9.5,6.1
,Galveston County,724000,31.9,21.9,10.1,44.8,16.1
,Galveston County,724300,25.4,17.0,5.5,26.0,7.8
,Galveston County,724400,25.4,30.1,10.5,33.3,7.7
,Galveston County,724500,28.1,15.9,10.3,25.0,11.7
,Galveston County,724600,34.9,18.3,10.3,61.4,12.9
,Galveston County,724700,29,30.6,11.3,36.3,9.6
,Galveston County,724800,25.5,27.3,11.0,30.7,10.0
,Galveston County,725000,24.1,44.5,13.2,14.4,7.1
,Galveston County,725100,27.1,36.5,12.4,30.7,8.4
,Galveston County,725200,30.4,54.5,14.3,35.9,13.2
,Galveston County,723502,19.3,15.6,4.3,7.3,4.0
,Galveston County,723501,20.5,15.9,12.7,16.9,10.3
,Jasper County,950400,19.2,10.2,2.3,12.3,6.0
,Jasper County,950800,19.5,0.4,0.6,22.0,12.5
,Jasper County,950300,27.8,15.6,7.9,40.5,11.1
,Jasper County,950600,21.9,12.0,6.0,24.8,9.7
,Jasper County,950500,18.6,2.8,2.9,15.8,7.2
,Jasper County,950700,17.5,1.2,1.0,9.5,5.6
,Jasper County,950100,19.6,1.2,1.5,12.0,4.2
,Jasper County,950200,22.3,15.8,8.5,28.2,12.5
,Jeff Davis County,950100,20.3,37.3,8.5,7.3,3.7
,Parker County,140601,17.8,7.7,5.0,6.1,3.6
,Parker County,140200,20.4,11.7,4.0,8.2,2.9
,Parker County,140602,20.4,11.8,4.8,12.6,5.2
,Parker County,140300,19.3,23.2,5.7,7.0,3.4
,Lee County,100,19.1,9.1,4.8,8.8,4.1
,Lee County,300,20.6,7.7,5.9,9.5,4.9
,Lee County,400,23.9,44.2,4.8,25.7,7.7
,Lee County,200,19.8,16.7,9.4,10.5,3.8
,Limestone County,970800,19,5.6,3.0,16.6,6.2
,Limestone County,970600,22.8,20.1,4.9,27.2,5.9
,Limestone County,970200,20.9,10.0,4.0,18.1,9.1
,Limestone County,970400,25.4,31.0,7.5,20.2,11.2
,Limestone County,970700,17.4,9.0,5.6,13.3,6.6
,Limestone County,970100,24.4,26.4,7.9,23.9,6.2
,Limestone County,970300,25.6,33.2,9.8,31.6,13.6
,Limestone County,970500,23.2,39.9,10.9,23.1,10.1
,Dimmit County,950400,28.5,80.5,7.1,32.2,10.9
,Howard County,950802,28.4,65.6,4.2,18.5,8.1
,Denton County,20204,20.6,8.2,4.2,6.8,4.2
,Denton County,20205,18.1,19.0,8.5,9.3,6.0
,Denton County,21405,25.3,33.3,8.0,19.4,10.2
,Denton County,20506,19,23.4,14.2,3.9,3.2
,Denton County,20504,25.9,32.7,8.4,21.9,10.5
,Denton County,21304,23.1,22.5,10.0,9.5,4.6
,Denton County,21718,13.6,10.6,4.5,1.2,1.1
,Denton County,21513,10.1,6.2,4.2,0.5,0.6
,Denton County,21720,12.1,7.8,5.0,0.7,1.0
,Frio County,950100,26.1,73.4,6.2,17.3,6.5
,Frio County,950300,30.2,71.7,5.1,29.5,8.9
,Frio County,950200,31.2,87.0,4.3,22.2,9.8
,Hutchinson County,950500,18.1,4.5,2.4,11.0,3.6
,Hutchinson County,951000,18.8,22.1,10.6,10.4,4.3
,Hutchinson County,950200,20.1,14.8,4.1,7.8,4.6
,Hutchinson County,950700,25.6,28.4,9.3,38.2,10.9
,Hardeman County,950100,21.7,21.3,2.9,23.8,5.9
,Sabine County,950300,17.3,1.8,2.5,24.4,8.3
,Gillespie County,950400,18.9,28.8,7.3,14.2,5.8
,Gillespie County,950300,18.6,19.4,7.0,17.4,7.3
,Gillespie County,950500,19,30.0,10.1,13.8,11.1
,Gillespie County,950200,14.8,9.9,6.1,10.3,3.8
,Gillespie County,950100,17.7,13.4,5.2,5.9,3.0
,Motley County,950100,18.3,17.1,7.4,14.5,5.0
,Nacogdoches County,951100,19.7,5.8,3.0,21.0,4.7
,Nacogdoches County,950301,22.8,23.4,5.1,24.0,6.8
,Hutchinson County,950600,21.9,44.1,8.0,28.3,8.5
,Nacogdoches County,950302,25.3,40.4,7.0,24.1,7.8
,Nacogdoches County,950600,33.7,8.6,2.8,40.3,11.5
,Nacogdoches County,950800,26.3,39.1,7.9,28.2,9.3
,Nacogdoches County,950900,29.7,18.8,10.7,53.5,16.1
,Nacogdoches County,950100,19.9,8.6,4.5,10.0,4.8
,Nacogdoches County,950700,29,33.9,7.1,36.6,8.8
,Nacogdoches County,951000,29,18.6,5.4,37.1,8.5
,Nacogdoches County,950200,19.4,8.5,4.8,12.0,4.1
,Nacogdoches County,950400,18.4,6.9,2.6,11.1,4.0
,La Salle County,950300,29.4,84.3,3.0,16.5,8.1
,Morris County,950300,21.7,12.1,5.4,18.5,6.9
,Morris County,950200,19.4,10.1,2.4,19.2,5.7
,Morris County,950100,19.7,4.5,2.9,14.9,4.2
,Hutchinson County,950800,24.4,41.0,15.4,35.0,13.7
,Hutchinson County,950900,17.9,17.2,5.4,9.4,4.0
,Calhoun County,500,22.1,26.4,7.7,18.0,4.9
,Hood County,160301,18.8,9.7,2.9,6.1,2.4
,Hood County,160204,19.4,9.7,6.6,9.4,7.6
,Falls County,400,30,18.0,6.2,29.5,10.2
,Falls County,700,21.4,16.3,4.9,17.1,6.9
,Falls County,200,21.4,29.5,8.1,16.4,5.3
,Falls County,500,20.8,15.7,7.0,19.7,6.7
,Falls County,300,24.2,34.7,8.0,38.8,8.8
,Randall County,21802,24.5,20.5,4.6,25.1,5.8
,Franklin County,950100,18.4,5.6,4.4,5.5,2.9
,Franklin County,950200,23.2,17.5,6.3,25.2,6.5
,Franklin County,950300,18.9,23.3,7.6,18.4,10.0
,Comanche County,950100,19.5,17.7,5.1,20.1,7.1
,Comanche County,950200,18.4,9.8,6.2,20.3,6.8
,Comanche County,950400,21.4,37.9,11.5,32.0,11.9
,Comanche County,950300,21.5,42.7,6.3,32.6,7.7
,Victoria County,800,22.1,39.8,11.3,17.0,8.5
,Titus County,950800,23.1,53.6,8.1,17.9,7.0
,Titus County,950100,20.9,19.3,7.9,20.5,6.6
,Titus County,950200,22.2,31.5,6.5,17.2,5.1
,Titus County,950300,22.6,37.3,6.0,19.8,6.4
,Titus County,950400,21.2,18.3,5.0,20.4,5.8
,Titus County,950600,28,57.9,6.6,33.6,8.9
,Titus County,950700,26.7,53.3,14.4,29.4,15.0
,Titus County,950500,26.5,66.8,9.3,27.4,10.7
,Gonzales County,500,25.9,61.4,6.3,21.0,5.2
,Gonzales County,200,22.6,35.5,8.4,11.7,5.5
,Gonzales County,400,24.5,54.6,8.0,29.1,11.9
,Gonzales County,300,25.2,56.1,8.7,36.1,11.5
,Jack County,950300,19.7,24.8,6.0,18.6,10.8
,Jack County,950100,21.3,14.2,6.7,10.6,7.2
,Coryell County,10400,19.7,12.0,4.8,12.7,7.2
,Childress County,950100,25.4,30.3,7.4,15.6,10.5
,Cottle County,950100,20.5,22.6,9.0,20.4,7.3
,Bowie County,11700,18.2,4.8,3.8,15.6,7.0
,Bowie County,11402,19.4,0.8,1.0,17.3,6.4
,Bowie County,11600,19.5,5.3,2.7,16.1,6.3
,Cherokee County,950100,22.1,38.6,7.5,18.6,4.7
,Cherokee County,950700,26.5,40.8,9.7,39.6,9.2
,Cherokee County,951000,22.2,7.3,5.3,23.7,5.8
,Cherokee County,950500,27,45.9,6.9,43.4,9.6
,Cherokee County,950400,27.2,31.8,6.9,29.7,10.9
,Cherokee County,950600,21.3,26.6,6.4,20.3,5.6
,Cherokee County,950900,23.2,15.4,6.5,29.1,11.8
,Cherokee County,950300,19.8,19.7,6.7,15.9,7.0
,Cherokee County,951100,21.3,5.9,4.0,31.0,8.1
,Bowie County,11300,21.6,9.8,5.2,17.8,4.1
,Deaf Smith County,950400,23.6,76.2,4.4,19.7,5.8
,Deaf Smith County,950500,28.9,87.5,5.1,35.4,10.6
,Deaf Smith County,950300,21.9,64.2,3.9,16.0,7.1
,Medina County,200,20.3,37.6,14.5,11.2,9.5
,Medina County,300,25.5,50.1,3.0,15.6,6.3
,Medina County,500,24.4,60.5,6.9,26.4,7.9
,Medina County,800,23.7,53.9,6.6,17.6,7.6
,Bell County,20500,21.2,32.0,5.5,24.7,7.2
,Bell County,20701,28.3,36.1,15.3,40.2,11.3
,Bell County,20702,28.4,51.4,13.3,38.2,12.2
,Bell County,20900,28,34.8,9.3,33.0,9.8
,Bell County,21000,26.7,40.3,12.5,24.7,11.4
,Bell County,21100,22.3,32.4,8.8,18.1,6.3
,Wilson County,403,19.2,41.8,4.7,6.3,4.6
,Bell County,20100,18.9,18.0,5.6,6.2,2.4
,Bell County,21602,28,27.7,8.2,21.8,11.9
,Bell County,20300,19.9,19.6,3.9,8.8,4.3
,Bell County,20800,29.5,31.2,12.4,38.9,10.4
,Bell County,21400,18.9,13.0,5.3,10.9,4.7
,Bell County,20600,21.3,17.1,5.5,14.1,5.4
,Bell County,21302,14.3,4.8,2.6,2.2,1.9
,Bell County,23402,21.3,21.6,4.9,9.6,2.9
,Bell County,21203,18.8,19.5,5.8,9.2,5.5
,Bell County,21500,24.8,36.6,9.6,21.1,7.2
,Bell County,21303,22.5,14.1,3.4,18.7,7.9
,Bell County,21601,24.5,44.9,10.1,26.3,10.0
,Bell County,21700,19.8,12.3,2.4,14.4,7.6
,Wharton County,740600,22.4,45.9,9.3,17.3,7.2
,Kent County,950100,19.7,14.6,7.1,10.4,6.0
,Wharton County,740700,27.2,40.0,9.6,54.5,13.0
,Wharton County,740200,25.6,42.4,8.3,34.9,11.5
,Wharton County,740100,22,17.7,7.6,12.9,6.8
,Wharton County,740400,23.5,41.8,7.2,15.9,6.7
,Wharton County,740900,19.4,36.0,5.9,7.4,4.0
,Grayson County,1803,17.3,6.4,4.2,7.0,2.8
,Grayson County,1802,18.8,3.9,2.5,8.3,4.0
,Grayson County,1102,18.1,9.5,4.6,16.0,6.2
,Grayson County,102,18,1.5,1.1,13.3,6.4
,Williamson County,21100,26,53.7,6.9,17.4,8.8
,Williamson County,21201,16.3,28.0,11.1,3.7,2.5
,Williamson County,21202,19.9,20.3,6.0,3.7,3.3
,Williamson County,21203,22.8,33.3,9.3,16.2,7.1
,Anderson County,950401,31.2,27.1,3.7,32.4,27.6
,Anderson County,950902,19.5,7.3,4.8,16.8,8.3
,Anderson County,950402,28.8,23.9,2.8,14.9,26.8
,San Saba County,950200,20.7,18.1,4.1,13.0,5.3
,San Saba County,950100,21.3,43.5,4.9,17.1,5.8
,Cooke County,1100,21,23.2,8.3,27.1,10.5
,Hood County,160205,19,12.7,5.5,19.6,8.8
,Hood County,160302,19,7.9,4.8,14.1,5.5
,Hood County,160209,17.6,7.9,3.4,6.5,3.3
,Kaufman County,51300,19.4,7.1,2.6,15.2,4.1
,Kaufman County,50600,19.2,20.1,9.8,15.2,10.9
,Kaufman County,50701,19,16.1,5.4,13.3,6.9
,Kaufman County,50300,25.1,28.4,7.8,24.8,8.6
,Kaufman County,50500,27.2,18.8,6.1,19.0,5.3
,Kaufman County,51000,26.5,48.5,10.5,44.1,14.1
,Kaufman County,50400,21.9,37.8,7.5,23.5,10.6
,Kaufman County,51100,22.8,26.1,8.6,21.1,6.7
,Upshur County,950100,19.4,4.6,2.3,15.7,4.8
,Upshur County,950200,19.1,9.4,5.8,9.7,3.6
,Upshur County,950400,20.1,20.0,8.2,16.3,7.4
,Upshur County,950300,19,6.4,2.8,14.4,5.8
,Upshur County,950500,19.7,4.7,2.8,14.2,4.1
,Cameron County,10401,26.2,91.6,6.0,25.5,6.3
,Galveston County,722900,19.9,44.0,9.6,25.8,13.7
,Galveston County,723100,24.2,17.8,6.0,16.2,6.7
,Galveston County,723200,22.6,10.5,5.1,16.5,8.6
,Galveston County,723300,18.3,14.1,4.5,6.0,3.9
,Galveston County,723000,23.2,17.0,8.2,24.6,11.6
,Jim Wells County,950100,23.9,57.5,8.0,14.8,6.2
,Jim Wells County,950300,25,78.2,4.6,11.2,6.8
,Jim Wells County,950700,25.6,86.0,7.1,25.6,8.7
,Jim Wells County,950200,26.6,85.5,5.2,19.2,6.0
