urban_area,County_name,Tract,Tot_Population_ACS_10_14,Low_Response_Score,Hispanic_ACS_10_14,Hispanic_ACSMOE_10_14,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,Prs_Blw_Pov_Lev_ACS_10_14,Prs_Blw_Pov_Lev_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
,Pecos County,950300,3295,26.6,3014,332,91.5,5.0,696,295,21.3,8.8
,Pecos County,950100,2416,23.6,1288,273,53.3,8.4,200,100,8.3,4.0
,Pecos County,950400,4210,22.4,2880,292,68.4,4.4,430,177,10.3,4.2
,Pecos County,950500,5756,26.2,3410,345,59.2,4.5,707,268,19.7,7.2
"San Antonio, TX",Bexar County,191003,7754,27.6,5830,819,75.2,6.2,1761,594,22.7,7.2
"San Antonio, TX",Bexar County,191004,3896,31.7,3153,410,80.9,6.3,1324,353,34.0,8.3
"San Antonio, TX",Bexar County,191101,1560,14.2,510,120,32.7,6.8,94,75,6.0,4.8
"San Antonio, TX",Bexar County,191102,2687,17.8,1065,264,39.6,9.5,158,117,5.9,4.4
"Dallas--Fort Worth--Arlington, TX",Tarrant County,111521,7995,26.6,3299,708,41.3,8.0,1239,494,15.5,6.0
"Dallas--Fort Worth--Arlington, TX",Tarrant County,114205,3286,17.7,465,352,14.2,10.6,733,272,23.0,8.1
"Killeen, TX",Bell County,23500,1994,31.3,839,288,42.1,13.4,855,300,43.0,14.1
"San Antonio, TX",Bexar County,191406,7373,15.7,1678,432,22.8,5.5,365,259,5.0,3.5
"College Station--Bryan, TX",Brazos County,2010,2787,17.4,467,290,16.8,10.2,91,67,3.3,2.4
,Grimes County,180400,1746,28.2,334,72,19.1,3.4,44,33,18.3,7.7
,Rusk County,950400,6015,21.1,1045,397,17.4,6.4,950,315,17.7,5.6
"Longview, TX",Rusk County,950200,3631,19.5,406,331,11.2,9.0,571,293,15.7,7.9
,Rusk County,950700,5272,23.5,813,258,15.4,4.6,472,218,15.0,6.7
,Rusk County,950100,5033,20.3,780,337,15.5,6.4,285,131,5.7,2.5
"San Antonio, TX",Bexar County,191408,3161,32,1955,380,61.9,9.9,598,226,19.0,6.9
"San Antonio, TX",Bexar County,191409,6694,31.5,4826,820,72.1,8.3,1323,458,19.8,6.4
,Rusk County,950900,3472,19.3,748,351,21.5,9.6,511,233,15.5,6.7
,Rusk County,951100,3311,21.2,497,252,15.0,7.4,605,228,18.4,6.5
,Rusk County,950600,2180,18.4,75,103,3.4,4.7,190,87,8.7,3.8
,Rusk County,951000,2729,23.7,829,218,30.4,7.1,460,261,16.9,9.3
,Rusk County,951200,2380,21.2,39,33,1.6,1.4,540,170,22.7,6.8
,Rusk County,950300,7002,19.1,884,462,12.6,6.5,1074,482,15.5,6.9
,Rusk County,950800,3420,20.9,322,206,9.4,5.9,471,212,14.4,6.3
,Refugio County,950200,3655,24,1759,166,48.1,3.5,716,196,20.7,5.5
"San Antonio, TX",Bexar County,181808,1498,25.7,574,265,38.3,16.5,524,244,37.6,16.2
,Bell County,21201,2846,25.3,478,118,16.8,3.5,319,181,11.2,6.2
,Bell County,21202,4395,22,992,360,22.6,7.9,628,301,15.1,7.1
,Bell County,21301,4827,16.6,666,227,13.8,4.5,332,225,7.0,4.7
"Killeen, TX",Bell County,21901,3715,20.9,554,247,14.9,6.5,672,220,19.2,6.0
"Killeen, TX",Bell County,22101,4535,24.6,901,310,19.9,6.2,1185,593,26.2,12.6
"El Paso, TX--NM",El Paso County,4312,5765,24.6,4858,657,84.3,6.4,1177,445,20.9,7.5
"Dallas--Fort Worth--Arlington, TX",Denton County,21523,3619,19.8,1388,397,38.4,10.1,298,250,8.2,6.8
"Dallas--Fort Worth--Arlington, TX",Denton County,21611,4371,19.2,1060,246,24.2,5.5,384,258,8.8,5.9
"Killeen, TX",Bell County,22401,6500,26.2,1389,464,21.4,6.8,1407,541,21.6,8.0
"Killeen, TX",Bell County,22600,3464,28.6,1114,442,32.2,11.3,983,353,28.4,8.7
"Killeen, TX",Bell County,22900,3912,28.2,1377,399,35.2,8.8,1250,464,32.1,10.9
"Killeen, TX",Bell County,23000,7698,23.1,2148,618,27.9,7.5,664,326,8.6,4.2
"Killeen, TX",Bell County,23103,4506,23.9,888,255,19.7,5.4,806,306,17.9,6.6
"Killeen, TX",Bell County,23104,4147,23.5,843,303,20.3,6.8,595,243,14.6,5.6
"Dallas--Fort Worth--Arlington, TX",Denton County,21612,4010,20.7,893,337,22.3,8.2,119,84,3.0,2.1
"Dallas--Fort Worth--Arlington, TX",Denton County,21613,5514,27.4,2315,349,42.0,5.8,969,307,17.6,5.5
"Dallas--Fort Worth--Arlington, TX",Denton County,21614,3792,21.6,1764,299,46.5,7.2,194,142,5.1,3.7
"Dallas--Fort Worth--Arlington, TX",Denton County,21616,3849,25.9,829,293,21.5,7.2,562,206,14.7,5.1
"El Paso, TX--NM",El Paso County,3702,4500,28.6,4383,374,97.4,1.7,1397,329,31.3,6.9
"El Paso, TX--NM",El Paso County,3801,5605,25,5495,535,98.0,2.7,1057,464,18.9,8.1
"Dallas--Fort Worth--Arlington, TX",Tarrant County,113810,4541,19.3,1021,285,22.5,6.1,451,207,10.0,4.5
,Fannin County,950100,3126,20.4,453,214,14.5,6.7,664,180,21.8,5.5
,Fannin County,950500,2463,18.9,53,51,2.1,2.1,427,121,17.3,4.7
,Fannin County,950600,2537,19.3,120,65,4.7,2.5,263,124,10.4,4.8
,Fannin County,950300,2967,17,138,105,4.7,3.5,361,100,12.7,3.4
,Fannin County,950702,3509,18.8,483,181,13.8,5.1,522,190,14.9,5.3
,Fannin County,950701,4363,20,401,219,9.2,5.0,653,240,15.1,5.4
,Denton County,20601,5645,29.5,1999,601,35.4,8.9,1507,360,39.1,8.6
"San Antonio, TX",Bexar County,190504,2626,27,2203,338,83.9,6.8,541,250,20.7,9.2
"San Antonio, TX",Bexar County,190503,3597,27.6,2618,456,72.8,10.0,799,298,22.3,8.0
"El Paso, TX--NM",El Paso County,112,4330,22.8,2910,337,67.2,5.7,961,325,22.2,7.3
"El Paso, TX--NM",El Paso County,204,4988,23.5,3257,436,65.3,6.6,1117,346,22.4,6.7
"El Paso, TX--NM",El Paso County,205,3646,28.5,2739,446,75.1,8.1,1235,435,33.9,11.2
"El Paso, TX--NM",El Paso County,206,4794,22.7,3857,354,80.5,4.9,859,324,17.9,6.7
"El Paso, TX--NM",El Paso County,302,5698,26.4,5013,664,88.0,6.4,2078,532,36.5,8.4
"McAllen, TX",Hidalgo County,24402,9472,28.1,9247,1070,97.6,2.1,3829,1035,40.4,9.9
"McAllen, TX",Hidalgo County,23600,8781,27.9,8368,867,95.3,3.5,2871,876,33.0,9.5
"McAllen, TX",Hidalgo County,24105,9918,28.5,9156,1039,92.3,4.9,3994,947,40.3,8.7
"McAllen, TX",Hidalgo County,23102,8146,29.1,7995,733,98.2,1.5,3976,1014,48.8,11.6
"McAllen, TX",Hidalgo County,21202,5651,25.5,4666,679,82.6,7.1,739,387,13.8,7.0
"Longview, TX",Gregg County,502,4517,22,341,232,7.5,5.1,804,398,17.8,8.6
"Longview, TX",Gregg County,700,5014,18.7,691,151,13.8,2.7,751,396,15.0,7.8
"Longview, TX",Gregg County,800,7552,25,2356,648,31.2,7.7,1688,811,22.9,10.6
"Longview, TX",Gregg County,1000,2650,25.2,1042,255,39.3,8.8,715,209,28.7,7.9
"McAllen, TX",Hidalgo County,21201,2957,24.9,2135,349,72.2,5.5,531,249,18.7,8.4
"McAllen, TX",Hidalgo County,21600,4330,28.9,4154,752,95.9,6.2,1823,737,42.3,15.5
"McAllen, TX",Hidalgo County,22201,6805,27,6329,789,93.0,3.5,3035,790,44.8,10.4
"McAllen, TX",Hidalgo County,22501,6384,29.8,6235,948,97.7,0.6,2804,712,44.1,9.0
"McAllen, TX",Hidalgo County,22600,2209,26.6,2186,312,99.0,1.7,701,236,32.3,9.8
,Moore County,950100,2406,23,931,191,38.7,6.3,363,141,15.1,5.5
,Moore County,950200,6330,26.8,3170,456,50.1,6.4,917,379,14.6,5.9
,Moore County,950300,7222,21.7,3572,494,49.5,6.1,1815,621,25.3,8.5
,Moore County,950400,6214,23.4,3980,453,64.0,6.2,1026,400,16.8,6.5
,Cooke County,600,5127,20.9,1570,406,30.6,7.4,640,265,12.7,5.1
,Orange County,20900,3604,21.8,417,216,11.6,5.8,1012,355,28.2,9.3
"Dallas--Fort Worth--Arlington, TX",Dallas County,9202,5787,27.3,4516,485,78.0,4.7,1394,520,24.1,8.7
"Dallas--Fort Worth--Arlington, TX",Dallas County,9301,5918,27.6,5334,583,90.1,5.5,1597,656,27.0,10.8
"Dallas--Fort Worth--Arlington, TX",Dallas County,9304,6067,35.7,1452,579,23.9,9.1,3985,735,65.7,9.3
,Bandera County,101,4425,17.3,595,209,13.4,4.5,386,163,9.2,3.7
,Bastrop County,950502,5412,19.8,932,515,17.2,9.1,619,354,11.6,6.3
"McAllen, TX",Hidalgo County,22701,5584,22,3819,658,68.4,7.8,1208,397,23.6,7.3
"McAllen, TX",Hidalgo County,22702,5491,22.4,4326,818,78.8,8.7,2030,700,37.0,11.4
"McAllen, TX",Hidalgo County,23700,4863,31.2,4709,485,96.8,14.2,2418,553,49.7,10.1
"McAllen, TX",Hidalgo County,24201,15079,30.3,14841,1228,98.4,2.9,7239,1272,48.1,7.6
"McAllen, TX",Hidalgo County,24500,8495,30.9,8333,835,98.1,2.7,4496,701,52.9,6.5
"McAllen, TX",Hidalgo County,21302,16587,30.4,16342,1088,98.5,1.6,8082,1443,48.7,8.1
"McAllen, TX",Hidalgo County,22800,9192,28.6,8812,741,95.9,11.7,3788,842,41.2,8.4
"McAllen, TX",Hidalgo County,23507,9118,29,8888,887,97.5,1.9,3437,780,37.7,7.7
,Bell County,23403,5257,14.6,719,406,13.7,7.6,257,168,4.9,3.2
,Bell County,23404,2922,19.1,599,281,20.5,9.2,182,76,6.4,2.5
"Killeen, TX",Bell County,21903,9716,19.6,2043,586,21.0,5.8,586,376,6.0,3.8
"Killeen, TX",Bell County,23204,5035,29.9,912,220,18.1,3.7,311,201,15.0,9.5
"Lubbock, TX",Lubbock County,10406,4528,21.3,574,234,12.7,4.9,561,459,12.4,10.0
"Lubbock, TX",Lubbock County,10405,4470,22.1,1373,589,30.7,12.3,380,226,8.5,4.9
"Lubbock, TX",Lubbock County,10408,9092,18.2,1864,293,20.5,2.9,707,415,7.8,4.5
"El Paso, TX--NM",El Paso County,403,2872,25.9,2218,312,77.2,3.2,642,291,22.5,9.7
"El Paso, TX--NM",El Paso County,404,3940,35,3550,454,90.1,5.2,2163,498,55.0,11.0
"El Paso, TX--NM",El Paso County,1001,3271,26.5,3097,530,94.7,6.9,1008,376,30.8,10.5
"El Paso, TX--NM",El Paso County,1104,7729,25.2,5070,625,65.6,6.2,1040,545,13.7,7.1
"Dallas--Fort Worth--Arlington, TX",Tarrant County,113514,5039,27.5,1674,311,33.2,5.5,1565,413,31.1,7.8
,Washington County,170100,3343,25.4,894,367,26.7,9.8,632,307,19.8,8.9
,Washington County,170600,4774,19.9,416,306,8.7,6.3,424,296,8.9,6.1
,Washington County,170400,6563,21.8,1423,390,21.7,5.6,745,369,13.7,6.6
,Washington County,170500,6760,19.3,573,261,8.5,3.8,793,370,11.8,5.4
,Washington County,170300,6624,19.1,726,219,11.0,3.2,943,397,14.9,6.1
,Washington County,170200,5975,20.2,877,364,14.7,5.9,1098,384,19.0,6.3
,Denton County,20800,4912,30.8,751,277,15.3,5.4,1761,396,35.9,7.1
,Denton County,20401,7162,24.8,1656,468,23.1,6.3,989,401,13.9,5.6
,Denton County,20202,9933,19.5,1972,673,19.9,6.6,488,261,4.9,2.6
,Denton County,20303,10477,16.8,1289,238,12.3,2.2,597,339,5.7,3.2
,Denton County,21403,10533,20,1709,548,16.2,5.1,372,152,3.5,1.4
"El Paso, TX--NM",El Paso County,3803,2845,25.8,2715,325,95.4,16.2,775,266,27.2,8.8
"El Paso, TX--NM",El Paso County,3804,4009,29.2,3851,380,96.1,3.4,1305,434,32.5,10.4
"El Paso, TX--NM",El Paso County,3901,3758,28.3,3667,389,97.6,2.8,759,289,20.2,7.4
"San Antonio, TX",Bexar County,121908,2455,16.4,662,170,27.0,6.6,165,121,6.7,4.9
"San Antonio, TX",Bexar County,110300,2890,29.6,2185,509,75.6,12.3,1064,479,36.8,15.4
"El Paso, TX--NM",El Paso County,3902,2617,26.6,2365,301,90.4,5.4,756,285,28.9,10.4
"Killeen, TX",Lampasas County,950301,7005,18.8,760,196,10.8,2.7,472,271,6.7,3.9
"Austin, TX",Travis County,1603,4685,15.8,237,144,5.1,3.0,127,108,2.7,2.3
"Austin, TX",Travis County,1605,3616,22,372,151,10.3,4.1,418,166,11.6,4.5
,Kimble County,950100,2303,18.5,464,122,20.1,5.0,270,103,11.9,4.4
,Kimble County,950200,2219,21.5,608,133,27.4,5.4,647,159,29.8,6.7
,King County,950100,290,22.7,64,48,22.1,15.9,21,20,7.2,6.7
"Dallas--Fort Worth--Arlington, TX",Denton County,21615,4445,18.4,1935,419,43.5,8.6,323,189,7.3,4.2
"Dallas--Fort Worth--Arlington, TX",Denton County,20305,7195,12.5,346,129,4.8,1.8,166,146,2.3,2.0
,Denton County,20402,5093,17.6,572,146,11.2,2.7,495,177,10.3,3.6
,Denton County,20403,3456,23.1,460,129,13.3,3.5,928,275,26.9,7.6
,Denton County,20602,8345,24.9,3205,631,38.4,6.8,1175,530,14.2,6.3
,Coleman County,950700,2682,21.7,358,141,13.3,5.2,726,198,27.1,7.2
,Brewster County,950400,1971,25.8,1619,265,82.1,7.5,393,147,19.9,7.0
,Brewster County,950300,4324,22.3,1529,279,35.4,6.0,376,156,8.9,3.6
,Coleman County,950300,4574,20.9,928,161,20.3,3.5,951,361,21.0,8.0
,Coleman County,950600,1400,16.5,180,143,12.9,10.1,116,59,8.4,4.1
"El Paso, TX--NM",El Paso County,1501,5596,23.4,3875,606,69.2,7.8,866,456,15.5,8.0
"El Paso, TX--NM",El Paso County,4201,5779,26.6,5548,551,96.0,3.9,1861,584,32.2,9.7
"El Paso, TX--NM",El Paso County,3501,2451,28,2240,287,91.4,6.2,512,224,20.9,8.9
"Lubbock, TX",Lubbock County,10508,8461,22.2,2911,644,34.4,6.8,817,363,11.2,4.8
"Lubbock, TX",Lubbock County,1801,6012,23.1,2210,573,36.8,9.0,1409,484,23.6,7.9
"Lubbock, TX",Lubbock County,10301,3483,21.7,465,237,13.3,6.7,500,220,14.5,6.2
"Lubbock, TX",Lubbock County,900,4359,29.4,2069,434,47.5,8.7,1518,414,34.8,8.8
,Lubbock County,10700,3967,18.2,791,301,19.9,7.3,437,279,11.0,6.9
"Lubbock, TX",Lubbock County,10403,5876,13.9,1135,387,19.3,6.3,219,110,3.8,1.9
"Lubbock, TX",Lubbock County,1501,2177,21.6,388,173,17.8,7.5,593,267,27.2,11.6
"Lubbock, TX",Lubbock County,2102,2974,18.6,780,244,26.2,8.0,149,91,5.0,3.0
"Lubbock, TX",Lubbock County,603,3121,37,275,154,8.8,4.8,2576,446,82.8,7.4
"San Antonio, TX",Bexar County,121803,4812,20,2466,370,51.2,6.6,319,170,6.7,3.5
"El Paso, TX--NM",El Paso County,3903,7163,32.1,6996,834,97.7,2.9,3889,896,54.4,10.8
"El Paso, TX--NM",El Paso County,4004,6279,25.2,5959,405,94.9,9.1,1810,558,29.4,8.8
"El Paso, TX--NM",El Paso County,4103,6686,29.9,6235,516,93.2,3.2,2097,559,31.7,8.1
,Orange County,21300,6238,18.9,183,91,2.9,1.4,1002,342,16.1,5.4
"San Antonio, TX",Bexar County,121812,6187,20.3,2493,441,40.3,5.6,147,96,2.4,1.5
"Dallas--Fort Worth--Arlington, TX",Tarrant County,106511,8297,26.2,2321,698,28.0,7.8,1538,647,18.5,7.5
"Dallas--Fort Worth--Arlington, TX",Tarrant County,106512,4960,26.9,735,356,14.8,7.0,1449,392,29.2,7.3
"Dallas--Fort Worth--Arlington, TX",Tarrant County,106513,3157,23.6,641,236,20.3,7.1,774,357,24.6,11.0
"Dallas--Fort Worth--Arlington, TX",Tarrant County,106514,5586,29.9,1056,415,18.9,7.1,1736,601,31.1,10.2
,Denton County,20700,3234,28.2,334,145,10.3,4.3,1431,293,45.9,7.4
,Denton County,20900,4987,33.2,1538,296,30.8,5.3,1396,243,50.0,7.0
,Denton County,21000,6142,30.8,1247,337,20.3,5.1,1446,300,51.3,9.5
,Denton County,21100,2617,31.8,363,119,13.9,4.4,1373,213,52.7,6.6
,Denton County,21301,3797,36,532,172,14.0,4.2,1902,421,50.1,9.0
"Austin, TX",Travis County,1705,4652,16.2,385,251,8.3,5.4,127,74,2.8,1.6
"Austin, TX",Travis County,1706,3566,19.3,398,187,11.2,5.2,169,117,4.7,3.3
"Austin, TX",Travis County,1707,4749,19.6,735,245,15.5,5.0,450,234,9.5,4.9
"San Antonio, TX",Bexar County,130300,3356,29.4,2889,405,86.1,7.6,1301,497,38.8,14.2
"San Antonio, TX",Bexar County,130500,4332,30.9,2941,477,67.9,7.2,1983,520,45.8,10.6
"San Antonio, TX",Bexar County,130600,4535,31.2,2547,520,56.2,8.9,2223,581,49.0,11.2
"San Antonio, TX",Bexar County,130700,1987,29.7,1408,232,70.9,22.8,482,173,24.3,5.6
"San Antonio, TX",Bexar County,131000,5024,24.9,2129,376,42.4,5.8,1397,408,28.9,7.8
"Dallas--Fort Worth--Arlington, TX",Tarrant County,106515,3400,27.1,490,260,14.4,7.5,646,309,19.0,8.9
"Dallas--Fort Worth--Arlington, TX",Tarrant County,106516,4865,35.8,2039,490,41.9,8.4,2088,633,42.9,11.7
"Dallas--Fort Worth--Arlington, TX",Tarrant County,106600,2285,35.2,801,215,35.0,8.7,937,217,41.0,8.5
"Austin, TX",Travis County,1712,4471,22.3,1637,351,36.6,7.3,612,242,13.7,5.3
"Austin, TX",Travis County,1713,4414,23.3,1157,269,26.2,5.8,700,259,15.9,5.8
"Austin, TX",Travis County,1718,5696,20.1,727,313,12.8,5.4,437,231,7.7,4.0
"El Paso, TX--NM",El Paso County,4314,5219,25.5,4535,332,86.9,1.9,266,149,5.3,2.9
"El Paso, TX--NM",El Paso County,4316,6525,27.1,5929,814,90.9,7.0,868,585,13.6,9.0
"El Paso, TX--NM",El Paso County,10103,2623,31.6,553,275,21.1,10.2,199,121,13.9,8.2
"El Paso, TX--NM",El Paso County,10307,6151,26.1,4994,494,81.2,4.7,1920,481,31.2,7.4
"El Paso, TX--NM",El Paso County,2202,3877,30.4,3645,380,94.0,4.3,1598,353,41.6,8.3
"El Paso, TX--NM",El Paso County,10102,4674,33.2,1009,421,21.6,8.6,484,291,20.0,11.3
"El Paso, TX--NM",El Paso County,1107,7288,20.8,4867,517,66.8,5.4,685,369,9.5,5.1
"El Paso, TX--NM",El Paso County,301,6824,29,5556,760,81.4,7.2,2587,762,37.9,10.4
"El Paso, TX--NM",El Paso County,1502,3027,23.8,1408,191,46.5,4.0,347,161,14.1,6.3
"El Paso, TX--NM",El Paso County,10501,4262,29,4129,502,96.9,3.6,2000,627,47.4,13.8
"El Paso, TX--NM",El Paso County,1110,5187,21.6,3345,472,64.5,7.3,846,422,16.3,8.0
"El Paso, TX--NM",El Paso County,2201,3189,26.9,2614,352,82.0,6.5,973,294,32.5,9.1
"El Paso, TX--NM",El Paso County,900,9381,27.7,7574,1105,80.7,7.0,2496,1013,26.9,10.5
"El Paso, TX--NM",El Paso County,1109,4705,15.8,2429,333,51.6,6.0,397,213,8.5,4.5
"El Paso, TX--NM",El Paso County,3601,4062,28.1,3831,553,94.3,5.1,1543,434,38.0,9.4
"Sherman, TX",Grayson County,200,2364,21.6,197,121,8.3,5.0,757,214,32.2,8.4
"El Paso, TX--NM",El Paso County,4104,6462,24.8,6187,587,95.7,0.2,1726,488,26.8,7.1
"El Paso, TX--NM",El Paso County,4105,3687,27.3,3589,356,97.3,3.0,980,294,26.6,7.6
"El Paso, TX--NM",El Paso County,4106,5265,27.7,4973,387,94.5,1.0,1906,467,36.2,8.4
"El Paso, TX--NM",El Paso County,4107,1528,20.3,1394,153,91.2,6.1,240,169,15.7,11.0
"El Paso, TX--NM",El Paso County,4202,5722,26.9,5144,534,89.9,4.2,1644,521,28.7,8.7
"El Paso, TX--NM",El Paso County,4303,6154,20.4,4488,565,72.9,6.2,523,294,8.5,4.7
,Denton County,21502,4572,26.3,1973,408,43.1,8.3,784,425,17.5,9.4
,Denton County,21505,6117,18.7,1157,450,18.9,7.2,473,429,7.7,7.0
,Denton County,21409,8265,17.5,902,236,10.9,2.8,942,596,11.4,7.2
"San Antonio, TX",Bexar County,121404,4574,30.9,2465,470,53.9,8.3,1146,303,25.1,6.0
"San Antonio, TX",Bexar County,121501,8005,18.9,2775,423,34.7,4.8,316,187,4.0,2.4
"San Antonio, TX",Bexar County,121504,7873,21,3455,676,43.9,7.9,720,416,9.3,5.3
"San Antonio, TX",Bexar County,121507,4452,19.8,1490,268,33.5,5.4,411,160,9.3,3.5
"San Antonio, TX",Bexar County,121508,4975,26.3,2144,505,43.1,9.6,1700,373,34.7,7.1
"San Antonio, TX",Bexar County,121601,4899,25.7,2007,419,41.0,7.7,698,286,14.2,5.7
"El Paso, TX--NM",El Paso County,10311,7562,24.4,6026,623,79.7,5.2,849,325,11.4,4.3
,Fisher County,950400,2186,21.2,754,140,34.5,6.0,373,125,17.1,5.6
,Fisher County,950300,1696,20,319,123,18.8,7.1,167,107,10.1,6.4
,Glasscock County,950100,1190,21.3,346,132,29.1,10.7,46,31,3.9,2.6
"Dallas--Fort Worth--Arlington, TX",Tarrant County,111404,7987,23.8,796,286,10.0,3.5,1101,468,13.9,5.8
,Burnet County,960600,4018,14.7,327,197,8.1,4.8,295,157,7.3,3.9
,Burnet County,960700,6677,22.8,2004,405,30.0,5.9,949,540,14.3,8.1
,Burnet County,960200,3072,16.7,514,370,16.7,11.8,343,301,11.2,9.7
,Burnet County,960300,6651,22,1400,467,21.1,6.8,1253,597,19.8,9.2
,Burnet County,960500,6007,20.7,2267,448,37.7,7.2,1912,536,31.8,8.7
,Burnet County,960100,6310,20.8,883,217,14.0,3.1,766,351,12.2,5.5
,Burnet County,960400,5260,16.3,1226,609,23.3,11.2,941,642,17.9,12.0
,Burnet County,960800,5916,19.1,619,209,10.5,3.4,779,383,13.4,6.5
"Austin, TX",Travis County,1716,5168,20.2,526,281,10.2,5.4,266,149,5.2,2.9
"Austin, TX",Travis County,1747,5791,24,1895,392,32.7,6.4,957,337,16.5,5.7
"Austin, TX",Travis County,1823,7032,32.5,5122,592,72.8,5.3,2495,618,35.6,8.2
"Austin, TX",Travis County,2307,5896,31.5,3334,705,56.5,10.1,1515,442,25.7,6.9
"Austin, TX",Travis County,1908,9251,22,1963,630,21.2,6.4,1127,587,12.3,6.3
"Austin, TX",Travis County,1719,4111,11.9,475,204,11.6,4.9,140,110,3.4,2.7
"Austin, TX",Travis County,1722,3716,26.6,451,194,12.1,5.1,217,88,5.8,2.3
"Austin, TX",Travis County,1728,7147,21.4,1910,325,26.7,4.2,513,386,7.2,5.4
"Austin, TX",Travis County,1729,4697,24.2,881,257,18.8,5.3,273,173,5.8,3.7
"Corpus Christi, TX",San Patricio County,10500,2106,26.7,1913,223,90.8,5.4,596,143,28.3,6.2
"San Antonio, TX",Bexar County,131504,3391,23.8,1580,346,46.6,8.8,364,224,10.7,6.5
"Dallas--Fort Worth--Arlington, TX",Tarrant County,104605,4069,26.3,1525,398,37.5,8.8,1601,523,39.8,12.2
"Dallas--Fort Worth--Arlington, TX",Tarrant County,104802,5581,26.7,3896,580,69.8,7.0,1832,601,34.7,10.7
"Dallas--Fort Worth--Arlington, TX",Tarrant County,105001,6291,27.7,5680,616,90.3,4.0,2547,750,41.7,11.6
"Dallas--Fort Worth--Arlington, TX",Tarrant County,111013,8563,23.6,1969,285,23.0,2.9,908,461,10.6,5.3
"San Antonio, TX",Bexar County,121604,8096,22.8,3066,726,37.9,8.4,538,326,6.7,4.0
"San Antonio, TX",Bexar County,121802,8583,23.4,3993,482,46.5,4.8,1150,552,13.5,6.4
"Dallas--Fort Worth--Arlington, TX",Dallas County,8400,8937,27.3,7339,973,82.1,6.5,2563,761,28.7,8.0
"Dallas--Fort Worth--Arlington, TX",Dallas County,8500,5540,26.1,4149,445,74.9,4.8,1485,448,28.9,8.3
"Dallas--Fort Worth--Arlington, TX",Tarrant County,105006,1908,27.9,1042,343,54.6,13.9,130,142,15.7,16.1
"Dallas--Fort Worth--Arlington, TX",Tarrant County,105201,5408,29.5,2550,535,47.1,8.0,2387,505,44.3,7.6
"Dallas--Fort Worth--Arlington, TX",Tarrant County,105204,3118,32.7,1207,286,38.7,8.2,922,305,29.6,9.2
"Dallas--Fort Worth--Arlington, TX",Tarrant County,105205,4430,31.2,790,314,17.8,6.8,1464,448,33.0,9.4
"Dallas--Fort Worth--Arlington, TX",Dallas County,8604,3005,35.9,655,248,21.8,7.7,1655,371,55.1,9.7
"Dallas--Fort Worth--Arlington, TX",Dallas County,8701,4016,33,239,156,6.0,3.8,2100,523,53.0,11.0
"Dallas--Fort Worth--Arlington, TX",Dallas County,8704,3083,32.7,165,177,5.3,5.7,1042,336,33.8,9.6
"Dallas--Fort Worth--Arlington, TX",Dallas County,8801,2365,24.7,476,164,20.1,6.6,723,209,30.6,8.3
"Austin, TX",Travis County,2105,5225,32.3,2859,542,54.7,9.0,1709,438,32.9,7.8
"Austin, TX",Travis County,2106,3031,24,1545,324,51.0,9.3,781,396,25.8,12.8
"Austin, TX",Travis County,2107,3879,27.8,1755,490,45.2,10.5,1153,324,30.5,7.2
