GIDTR,County_name,Tract,Tot_Population_ACS_10_14,Low_Response_Score,Hispanic_ACS_10_14,Hispanic_ACSMOE_10_14,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,Prs_Blw_Pov_Lev_ACS_10_14,Prs_Blw_Pov_Lev_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14
48027020402,Bell County,20402,2290,24,716,273,31.27,10.12,139,83,6.07,3.41
48027020500,Bell County,20500,4106,21.2,1316,267,32.05,5.54,1013,314,24.67,7.18
48027020600,Bell County,20600,2895,21.3,495,173,17.1,5.45,405,165,14.07,5.36
48027020701,Bell County,20701,1061,28.3,383,180,36.1,15.29,427,148,40.25,11.29
48027020702,Bell County,20702,2247,28.4,1154,343,51.36,13.34,847,298,38.2,12.22
48027020800,Bell County,20800,3771,29.5,1176,495,31.19,12.41,1454,437,38.87,10.4
48027020900,Bell County,20900,2535,28,882,272,34.79,9.27,736,249,32.97,9.77
48027021000,Bell County,21000,4184,26.7,1685,592,40.27,12.48,1028,503,24.72,11.38
48027021100,Bell County,21100,5480,22.3,1773,534,32.35,8.82,955,359,18.06,6.34
48027021201,Bell County,21201,2846,25.3,478,118,16.8,3.54,319,181,11.21,6.2
48027021202,Bell County,21202,4395,22,992,360,22.57,7.88,628,301,15.11,7.07
48027021203,Bell County,21203,4032,18.8,787,247,19.52,5.79,357,218,9.15,5.5
48027021301,Bell County,21301,4827,16.6,666,227,13.8,4.46,332,225,6.98,4.67
48027021302,Bell County,21302,3182,14.3,153,84,4.81,2.59,71,60,2.24,1.88
48027021303,Bell County,21303,6754,22.5,951,243,14.08,3.38,1232,530,18.73,7.88
48027021400,Bell County,21400,3789,18.9,491,207,12.96,5.33,408,180,10.86,4.68
48027021500,Bell County,21500,7063,24.8,2587,745,36.63,9.56,1442,527,21.13,7.25
48027021601,Bell County,21601,5148,24.5,2312,578,44.91,10.05,1301,515,26.27,9.99
48027021602,Bell County,21602,2558,28,708,351,27.68,8.17,268,156,21.79,11.86
48027021700,Bell County,21700,8074,19.8,994,217,12.31,2.44,1137,609,14.43,7.61
48027021800,Bell County,21800,7226,23,1607,403,22.24,5.27,1422,511,19.68,6.88
48027021901,Bell County,21901,3715,20.9,554,247,14.91,6.46,672,220,19.21,5.96
48027021903,Bell County,21903,9716,19.6,2043,586,21.03,5.79,586,376,6.03,3.84
48027021904,Bell County,21904,8754,23.3,1568,556,17.91,6.05,1374,641,15.7,7.12
48027022000,Bell County,22000,8126,26.8,1701,603,20.93,7.16,1772,563,21.81,6.63
48027022101,Bell County,22101,4535,24.6,901,310,19.87,6.23,1185,593,26.22,12.58
48027022103,Bell County,22103,5157,24.2,1373,354,26.62,6.3,427,234,8.28,4.46
48027022104,Bell County,22104,3897,27.1,761,299,19.53,7.27,1185,424,30.7,10.35
48027022105,Bell County,22105,1961,24.3,389,128,19.84,5.76,401,202,20.5,9.84
48027022200,Bell County,22200,3278,28.3,790,403,24.1,11.88,639,277,20.32,8.43
48027022300,Bell County,22300,4108,26.9,967,346,23.54,7.87,1091,387,26.56,8.8
48027022401,Bell County,22401,6500,26.2,1389,464,21.37,6.77,1407,541,21.65,8
48027022402,Bell County,22402,5730,20.9,1344,415,23.46,6.68,604,346,10.54,5.91
48027022403,Bell County,22403,3999,21.2,874,211,21.86,4.38,261,179,6.53,4.39
48027022404,Bell County,22404,8859,22.7,2097,482,23.67,5.07,402,339,4.57,3.83
48027022405,Bell County,22405,1849,28.2,448,211,24.23,10.92,257,196,13.9,10.43
48027022501,Bell County,22501,2809,23.8,584,279,20.79,9.4,264,134,9.4,4.55
48027022502,Bell County,22502,9909,24.8,1713,485,17.29,4.59,716,414,7.23,4.12
48027022600,Bell County,22600,3464,28.6,1114,442,32.16,11.28,983,353,28.39,8.73
48027022801,Bell County,22801,2336,31,771,328,33.01,12.91,682,218,29.2,7.95
48027022900,Bell County,22900,3912,28.2,1377,399,35.2,8.82,1250,464,32.06,10.95
48027023000,Bell County,23000,7698,23.1,2148,618,27.9,7.54,664,326,8.63,4.15
48027023103,Bell County,23103,4506,23.9,888,255,19.71,5.39,806,306,17.91,6.62
48027023104,Bell County,23104,4147,23.5,843,303,20.33,6.79,595,243,14.64,5.63
48027023105,Bell County,23105,11199,25.7,2158,493,19.27,3.97,839,463,7.49,4.07
48027023106,Bell County,23106,10205,28.1,2644,736,25.91,6.72,926,402,9.1,3.84
48027023107,Bell County,23107,7370,29.2,1699,413,23.05,5.02,1367,601,18.74,7.99
48027023108,Bell County,23108,13808,26.9,4531,1412,32.81,9.57,2743,1239,19.93,8.74
48027023201,Bell County,23201,2318,25.7,480,200,20.71,8.32,146,99,6.3,4.21
48027023202,Bell County,23202,7044,30.3,1806,542,25.64,7.16,779,479,15.58,9.42
48027023203,Bell County,23203,2913,28.3,896,289,30.76,9.37,157,109,5.39,3.7
48027023204,Bell County,23204,5035,29.9,912,220,18.11,3.74,311,201,14.98,9.51
48027023300,Bell County,23300,7919,19.4,1014,255,12.8,3.03,746,322,9.42,3.99
48027023402,Bell County,23402,4356,21.3,940,231,21.58,4.87,417,132,9.58,2.88
48027023403,Bell County,23403,5257,14.6,719,406,13.68,7.61,257,168,4.89,3.16
48027023404,Bell County,23404,2922,19.1,599,281,20.5,9.16,182,76,6.4,2.51
48027023500,Bell County,23500,1994,31.3,839,288,42.08,13.45,855,300,42.96,14.09
48027980001,Bell County,980001,348,,22,35,6.32,8.56,0,13,,
48027980002,Bell County,980002,0,,0,13,,,0,13,,
48027980003,Bell County,980003,0,,0,13,,,0,13,,
48029110100,Bexar County,110100,3353,30.2,2086,395,62.21,8.49,648,189,23.45,5.99
48029110300,Bexar County,110300,2890,29.6,2185,509,75.61,12.35,1064,479,36.82,15.41
48029110500,Bexar County,110500,1805,36.1,1670,251,92.52,7.54,1302,242,72.13,9.84
48029110600,Bexar County,110600,6210,31,5122,828,82.48,19.67,1532,425,53.79,12.67
48029110700,Bexar County,110700,1819,28,1572,470,86.42,13.93,501,186,27.54,7.51
48029110800,Bexar County,110800,1767,28.9,1324,256,74.93,8.42,401,145,26.16,8.77
48029110900,Bexar County,110900,851,33.2,447,153,52.53,14.51,168,90,19.79,9.82
48029111000,Bexar County,111000,2033,29.5,1594,286,78.41,9.24,612,205,32.18,9.75
48029120100,Bexar County,120100,6684,27.6,1246,249,18.64,3.43,277,163,7.35,4.29
48029120300,Bexar County,120300,7397,17.6,1651,319,22.32,4.31,658,313,8.98,4.27
48029120400,Bexar County,120400,6041,15,1122,384,18.57,6.3,368,282,6.2,4.75
48029120501,Bexar County,120501,8237,25.8,4404,920,53.47,9.24,1387,469,17.17,5.43
48029120502,Bexar County,120502,5427,27.1,3347,474,61.67,7.34,1543,436,28.54,7.76
48029120600,Bexar County,120600,5908,24.9,1811,389,30.65,5.23,770,312,13.03,5
48029120701,Bexar County,120701,5145,25.4,2876,537,55.9,8.11,959,339,19.54,6.5
48029120702,Bexar County,120702,4748,20.2,791,227,16.66,4.53,590,240,12.77,5.05
48029120800,Bexar County,120800,6563,16,1405,348,21.41,5.13,193,86,2.94,1.3
48029120901,Bexar County,120901,2145,23.5,778,296,36.27,13.15,696,264,32.45,11.72
48029120902,Bexar County,120902,6958,25.1,3137,799,45.08,10.15,678,396,10.08,5.76
48029121000,Bexar County,121000,7403,23.3,2938,680,39.69,8.47,1157,492,15.63,6.5
48029121108,Bexar County,121108,6940,20.7,2080,412,29.97,5.58,930,391,13.4,5.56
48029121110,Bexar County,121110,5160,19.2,1637,392,31.72,7.42,327,214,6.37,4.15
48029121111,Bexar County,121111,6486,21.9,3044,421,46.93,2.94,818,443,12.65,6.67
48029121112,Bexar County,121112,4087,23,1526,368,37.34,8.45,448,236,10.97,5.71
48029121115,Bexar County,121115,5327,16.6,1648,316,30.94,5.41,277,195,5.21,3.65
48029121116,Bexar County,121116,5132,21.4,1621,393,31.59,6.86,916,498,17.97,9.57
48029121117,Bexar County,121117,4377,22.3,1435,218,32.79,4.39,280,131,6.4,2.96
48029121118,Bexar County,121118,6007,22.8,2009,454,33.44,7.14,266,177,4.48,2.96
48029121119,Bexar County,121119,5447,23.8,1802,407,33.08,6.65,559,355,10.26,6.43
48029121120,Bexar County,121120,5577,21.7,1980,683,35.5,11.99,400,253,7.24,4.56
48029121121,Bexar County,121121,3237,14,1000,173,30.89,5.05,92,70,2.84,2.16
48029121122,Bexar County,121122,5344,15.2,1937,321,36.25,5.45,137,89,2.6,1.68
48029121203,Bexar County,121203,4240,25.8,2625,423,61.91,8.46,949,296,22.38,6.71
48029121204,Bexar County,121204,7185,28.1,2700,498,37.58,6.44,1141,437,15.91,5.99
48029121205,Bexar County,121205,4197,28.7,2416,381,57.56,7.19,1482,371,35.87,8.27
48029121206,Bexar County,121206,8175,20.5,4594,667,56.2,6.96,709,313,8.71,3.79
48029121300,Bexar County,121300,6128,18.1,2047,336,33.4,4.97,496,250,8.31,4.14
48029121402,Bexar County,121402,5885,25.7,3650,448,62.02,6.27,848,419,14.48,7.08
48029121403,Bexar County,121403,5446,27.2,2165,466,39.75,7.43,1329,345,25.16,5.96
48029121404,Bexar County,121404,4574,30.9,2465,470,53.89,8.3,1146,303,25.06,6
48029121501,Bexar County,121501,8005,18.9,2775,423,34.67,4.79,316,187,4,2.35
48029121504,Bexar County,121504,7873,21,3455,676,43.88,7.94,720,416,9.28,5.31
48029121505,Bexar County,121505,4803,21,1679,363,34.96,6.89,386,179,8.04,3.66
48029121506,Bexar County,121506,4784,23.1,2465,405,51.53,7.24,810,349,16.98,7.17
48029121507,Bexar County,121507,4452,19.8,1490,268,33.47,5.38,411,160,9.28,3.53
48029121508,Bexar County,121508,4975,26.3,2144,505,43.1,9.6,1700,373,34.7,7.12
48029121601,Bexar County,121601,4899,25.7,2007,419,40.97,7.7,698,286,14.25,5.69
48029121604,Bexar County,121604,8096,22.8,3066,726,37.87,8.45,538,326,6.65,3.99
48029121605,Bexar County,121605,2019,17.6,765,213,37.89,9.41,301,308,14.91,15.14
48029121606,Bexar County,121606,5129,23,1491,434,29.07,8.1,891,528,17.37,10.19
48029121701,Bexar County,121701,3963,20.1,1401,385,35.35,8.82,538,321,13.67,8.01
48029121702,Bexar County,121702,7082,18.7,2168,643,30.61,8.55,871,372,12.3,5.11
48029121802,Bexar County,121802,8583,23.4,3993,482,46.52,4.79,1150,552,13.46,6.41
48029121803,Bexar County,121803,4812,20,2466,370,51.25,6.6,319,170,6.72,3.54
48029121804,Bexar County,121804,7280,25.8,3593,864,49.35,10.32,1474,544,20.36,7.12
48029121808,Bexar County,121808,3486,18.9,1523,230,43.69,6.07,300,201,8.9,5.94
48029121809,Bexar County,121809,5027,18.7,2071,383,41.2,6.8,472,246,9.46,4.87
48029121810,Bexar County,121810,4889,18.5,2108,425,43.12,8.02,275,195,5.64,3.97
48029121811,Bexar County,121811,4851,18.7,1983,320,40.88,6.2,117,131,2.41,2.7
48029121812,Bexar County,121812,6187,20.3,2493,441,40.29,5.63,147,96,2.38,1.54
48029121813,Bexar County,121813,1571,18.3,572,138,36.41,7.72,160,94,10.46,6.03
48029121903,Bexar County,121903,5127,13.4,1033,150,20.15,2.6,89,92,1.74,1.79
48029121904,Bexar County,121904,3582,15.5,817,133,22.81,2.51,385,518,10.75,14.4
48029121905,Bexar County,121905,5663,22.6,1574,267,27.79,4.11,108,88,1.91,1.55
48029121906,Bexar County,121906,5348,22,1554,322,29.06,5.58,354,308,6.74,5.84
48029121907,Bexar County,121907,10800,21,4350,703,40.28,6.17,248,197,2.32,1.84
48029121908,Bexar County,121908,2455,16.4,662,170,26.97,6.63,165,121,6.72,4.9
48029121909,Bexar County,121909,5542,23.1,2264,454,40.85,6.94,415,277,7.5,4.94
48029121910,Bexar County,121910,4402,17.2,1305,290,29.65,6.29,138,156,3.13,3.54
48029130200,Bexar County,130200,2158,31.5,1700,410,78.78,12.74,1000,357,46.34,14.32
48029130300,Bexar County,130300,3356,29.4,2889,405,86.08,7.61,1301,497,38.77,14.2
48029130401,Bexar County,130401,3787,29.3,3069,661,81.04,9.03,1175,473,31.06,11.1
48029130402,Bexar County,130402,4335,31,2980,494,68.74,7.83,2064,441,47.91,8.46
48029130500,Bexar County,130500,4332,30.9,2941,477,67.89,7.19,1983,520,45.78,10.61
48029130600,Bexar County,130600,4535,31.2,2547,520,56.16,8.94,2223,581,49.02,11.17
48029130700,Bexar County,130700,1987,29.7,1408,232,70.86,22.77,482,173,24.26,5.57
48029130800,Bexar County,130800,5707,31.6,2347,580,41.12,9.44,2204,618,38.69,10.25
48029130900,Bexar County,130900,4426,30.2,2287,515,51.67,9.95,1355,367,30.77,7.52
48029131000,Bexar County,131000,5024,24.9,2129,376,42.38,5.83,1397,408,28.94,7.84
48029131100,Bexar County,131100,2684,27.2,1628,560,60.66,17.39,884,431,32.94,14.79
48029131200,Bexar County,131200,2772,28.1,1062,280,38.31,8.77,698,320,25.18,11.07
48029131300,Bexar County,131300,6586,22.6,3861,1407,58.62,19.74,2344,1605,35.95,24.09
48029131401,Bexar County,131401,7439,26,4800,677,64.52,7.37,1584,530,21.33,6.92
48029131402,Bexar County,131402,2750,24.6,1624,305,59.05,9.44,430,243,15.64,8.7
48029131503,Bexar County,131503,3747,19.2,1734,331,46.28,7.26,695,567,18.55,15
48029131504,Bexar County,131504,3391,23.8,1580,346,46.59,8.76,364,224,10.73,6.49
48029131505,Bexar County,131505,3793,24.9,1960,264,51.67,4.35,587,422,15.48,11.01
48029131506,Bexar County,131506,3259,28.5,1771,393,54.34,9.92,659,312,20.65,9.46
48029131507,Bexar County,131507,6951,27.1,4188,823,60.25,9.08,2635,793,38.11,10.41
48029131601,Bexar County,131601,2768,24,963,259,34.79,8.24,639,385,23.36,13.75
48029131606,Bexar County,131606,5168,22.2,2067,479,40,8.35,473,250,9.35,4.86
48029131608,Bexar County,131608,5631,26.3,2580,582,45.82,9.37,795,320,14.62,5.75
48029131609,Bexar County,131609,9006,23.5,4130,982,45.86,9.87,1234,804,13.74,8.85
48029131610,Bexar County,131610,5555,25.3,1934,281,34.82,3.92,594,319,10.69,5.66
48029131611,Bexar County,131611,1331,17.7,422,141,31.71,9.67,121,120,9.14,8.98
48029131612,Bexar County,131612,1884,24.7,803,212,42.62,7.47,251,209,13.39,10.83
48029131613,Bexar County,131613,4926,22.8,2129,362,43.22,6.47,908,458,19.03,9.46
48029131614,Bexar County,131614,4111,25.6,1329,431,32.33,9.42,251,206,6.11,4.94
48029131615,Bexar County,131615,7350,25.5,3237,683,44.04,8.43,853,469,11.61,6.3
48029131700,Bexar County,131700,1166,28,104,47,8.92,3.77,33,20,3.15,1.84
48029131801,Bexar County,131801,2508,17.6,512,204,20.41,7.81,95,51,3.79,1.99
48029131802,Bexar County,131802,5479,21.3,2118,538,38.66,8.6,232,199,4.24,3.6
48029140100,Bexar County,140100,1699,28,1483,211,87.29,7.81,376,145,22.13,8.18
48029140200,Bexar County,140200,2655,28.5,2153,287,81.09,6.33,481,197,19.15,7.56
48029140300,Bexar County,140300,3456,28.7,3210,406,92.88,6.34,1286,458,37.21,12.65
48029140400,Bexar County,140400,3702,25.9,3367,474,90.95,4.75,815,353,22.5,9.33
48029140500,Bexar County,140500,3999,25.1,3479,430,87,5.63,664,310,16.61,7.55
48029140600,Bexar County,140600,2641,27,2377,277,90,4.5,779,219,29.86,7.75
48029140700,Bexar County,140700,4683,26.1,3742,422,79.91,5.26,1213,390,25.9,7.98
48029140800,Bexar County,140800,5602,28,5053,677,90.2,5.54,1607,624,28.85,10.68
48029140900,Bexar County,140900,1923,24.4,1724,203,89.65,4.06,550,214,28.6,10.69
48029141000,Bexar County,141000,3593,30.3,3254,484,90.56,3.94,1613,442,44.89,10.52
48029141101,Bexar County,141101,4314,30.7,3131,498,72.58,8.76,1153,552,29.24,13.64
48029141102,Bexar County,141102,3464,30.3,2370,372,68.42,7.32,1232,471,35.57,12.97
48029141200,Bexar County,141200,6587,26.2,5195,645,78.87,3.68,2153,881,32.96,12.95
48029141300,Bexar County,141300,5820,26.3,3896,494,66.94,5.22,628,189,11.12,3.15
48029141402,Bexar County,141402,3989,25.2,3299,435,82.7,5.98,636,371,15.98,9.15
48029141403,Bexar County,141403,4055,24.7,3037,456,74.9,8.14,638,375,15.73,9.1
48029141404,Bexar County,141404,5207,23.5,3860,555,74.13,7.76,1118,379,21.47,6.96
48029141600,Bexar County,141600,4970,24.6,4358,326,87.69,4.23,461,260,9.3,5.22
48029141700,Bexar County,141700,5054,25.2,3282,554,64.94,8.87,696,341,14.06,6.74
48029141800,Bexar County,141800,4699,25.3,3095,583,65.87,9.11,1463,535,31.58,10.93
48029141900,Bexar County,141900,6252,21.1,2356,631,37.68,8.12,340,194,5.49,3.01
48029150100,Bexar County,150100,5424,28.8,5081,638,93.68,4.55,1732,536,31.93,9.16
48029150300,Bexar County,150300,4845,28.7,4358,558,89.95,4.84,2219,566,46.82,10.54
48029150400,Bexar County,150400,3595,28.1,3307,414,91.99,16.6,1268,519,35.27,13.69
48029150501,Bexar County,150501,5071,27.4,5008,423,98.76,1.31,1846,467,36.55,8.76
48029150502,Bexar County,150502,4231,27.3,4168,520,98.51,1.48,1025,394,24.29,8.84
48029150600,Bexar County,150600,4702,27.4,4413,497,93.85,3.7,1317,637,28.12,13.29
48029150700,Bexar County,150700,6093,27.6,5489,726,90.09,5.72,2028,581,33.28,8.72
48029150800,Bexar County,150800,3519,34.7,2958,405,84.06,6.45,2223,450,65.71,11
48029150900,Bexar County,150900,5768,28,5241,615,90.86,2.22,1444,492,25.4,8.18
48029151000,Bexar County,151000,3282,28.7,3068,409,93.48,6.18,1488,468,45.42,13.27
48029151100,Bexar County,151100,7129,27.3,6782,682,95.13,3.57,1083,486,15.41,6.76
48029151200,Bexar County,151200,10394,28.5,9774,1243,94.04,5.17,2404,905,23.92,8.6
48029151301,Bexar County,151301,5913,27.5,5543,663,93.74,4.6,1263,500,21.46,8.16
48029151302,Bexar County,151302,3425,26.4,3086,359,90.1,5.83,512,234,15.12,6.75
48029151400,Bexar County,151400,4760,27.8,4350,449,91.39,2.34,1629,507,34.65,10.22
48029151500,Bexar County,151500,2671,26.4,2386,322,89.33,5.8,680,318,25.51,11.54
48029151600,Bexar County,151600,7340,25.6,6133,497,83.56,3.54,1993,552,27.19,7.29
48029151700,Bexar County,151700,7090,25,6523,748,92,4.07,1126,425,15.9,5.76
48029151900,Bexar County,151900,6269,30.6,5905,616,94.19,4.39,1440,585,23.1,9.11
48029152000,Bexar County,152000,2309,35,1849,386,80.08,11.71,646,336,30.27,14.96
48029152100,Bexar County,152100,4897,25.9,3539,495,72.27,3.97,886,283,18.19,5.31
48029152201,Bexar County,152201,8255,26.8,6508,943,78.84,7.44,1957,1021,23.83,12.15
48029152202,Bexar County,152202,4581,26.7,3317,919,72.41,14.62,807,351,17.62,6.89
48029160100,Bexar County,160100,6615,31.6,6553,807,99.06,3.89,2504,588,37.99,7.74
48029160200,Bexar County,160200,2294,26.3,2189,313,95.42,5.02,466,184,20.31,7.55
48029160300,Bexar County,160300,5416,25.4,5127,489,94.66,3.38,1027,444,18.96,8.02
48029160400,Bexar County,160400,4393,26.3,4234,354,96.38,11.5,888,339,20.25,7.53
48029160501,Bexar County,160501,4048,34.1,3750,412,92.64,6.28,2622,390,64.77,7.84
48029160502,Bexar County,160502,4216,27.9,4111,436,97.51,2.29,840,364,20.53,8.63
48029160600,Bexar County,160600,5156,30.3,5089,520,98.7,1.73,2129,527,41.65,9.45
48029160701,Bexar County,160701,3285,27.6,3161,269,96.23,3.29,801,263,24.38,7.78
